Time (hours),Current Slot,Peers Connected
3.863611111111111,0.064,0
3.873611111111111,0.064,10
3.8761111111111113,0.127,10
3.881111111111111,0.191,10
3.883611111111111,0.191,17
3.8855555555555554,0.255,17
3.8930555555555557,0.317,17
3.893611111111111,0.317,25
3.9,0.38,25
3.903888888888889,0.38,25
3.906111111111111,0.444,25
3.9077777777777776,0.475,25
3.910833333333333,0.539,25
3.9141666666666666,0.539,26
3.9141666666666666,0.603,26
3.917222222222222,0.667,26
3.9202777777777778,0.731,26
3.924166666666667,0.731,26
3.924166666666667,0.795,26
3.9277777777777776,0.859,26
3.9341666666666666,0.859,26
3.939722222222222,0.923,26
3.9425,0.987,26
3.9444444444444446,0.987,26
3.9458333333333333,1.051,26
3.9544444444444444,1.051,26
3.9544444444444444,1.115,26
3.9644444444444447,1.115,26
3.9655555555555555,1.178,26
3.9744444444444444,1.178,22
3.9763888888888888,1.242,22
3.9791666666666665,1.306,22
3.9819444444444443,1.37,22
3.9844444444444442,1.37,25
3.985,1.434,25
3.9880555555555555,1.498,25
3.9905555555555554,1.562,25
3.993333333333333,1.626,25
3.9944444444444445,1.626,25
3.9966666666666666,1.689,25
3.9994444444444444,1.753,25
4.004722222222222,1.753,26
4.004722222222222,1.816,26
4.0075,1.88,26
4.010277777777778,1.944,26
4.013055555555556,2.008,26
4.014722222222222,2.008,26
4.015833333333333,2.072,26
4.0183333333333335,2.136,26
4.021111111111111,2.2,26
4.023611111111111,2.264,26
4.025,2.264,26
4.026666666666666,2.328,26
4.029166666666667,2.392,26
4.031944444444444,2.454,26
4.0344444444444445,2.518,26
4.035,2.518,26
4.037222222222222,2.582,26
4.04,2.646,26
4.042777777777777,2.71,26
4.045,2.71,26
4.045555555555556,2.772,26
4.048055555555556,2.836,26
4.05,2.899,26
4.052777777777778,2.963,26
4.055,2.963,27
4.055555555555555,3.027,27
4.058055555555556,3.091,27
4.060833333333333,3.154,27
4.0633333333333335,3.218,27
4.065,3.218,27
4.066111111111111,3.281,27
4.068333333333333,3.345,27
4.070555555555556,3.409,27
4.073611111111111,3.473,27
4.075277777777778,3.473,20
4.076666666666667,3.537,20
4.079444444444444,3.601,20
4.081666666666667,3.663,20
4.0841666666666665,3.727,20
4.085277777777778,3.727,25
4.0875,3.791,25
4.095277777777778,3.791,25
4.097777777777778,3.853,25
4.102222222222222,3.917,25
4.105,3.981,25
4.105277777777777,3.981,25
4.111666666666666,4.045,25
4.114444444444445,4.106,25
4.115277777777778,4.106,27
4.1175,4.17,27
4.120555555555556,4.233,27
4.123611111111111,4.297,27
4.125555555555556,4.297,27
4.126944444444445,4.361,27
4.129722222222222,4.425,27
4.132777777777778,4.489,27
4.135555555555555,4.489,27
4.136388888888889,4.489,27
