Time (hours),Current Slot,Peers Connected
0.0022369444370269774,0.0,0
0.005605555574099223,0.019,1
0.008903611103693644,0.063,2
0.012257222202089097,0.117,2
0.015605833331743877,0.162,5
0.018929722242885166,0.206,6
0.022241111132833693,0.253,11
0.025620000031259325,0.295,11
0.028979444437556796,0.342,12
0.03224111113283369,0.383,16
0.0355852778090371,0.434,23
0.038941666682561236,0.483,25
0.04240194446510739,0.533,26
0.045631944470935396,0.581,25
0.04895805557568868,0.631,25
0.05236722224288517,0.677,24
0.05567444443702698,0.72,25
0.058958333333333335,0.771,26
0.062240555551317,0.823,26
0.06557555556297302,0.877,24
0.069113333357705,0.928,23
0.07225555558999379,0.977,22
0.0756416666507721,1.017,21
0.07904333333174388,1.048,20
0.08230916665660011,1.078,22
0.08558694448735979,1.11,21
0.08894583337836795,1.143,22
0.0922630555762185,1.177,22
0.09563305556774139,1.228,19
0.09901277780532837,1.276,23
0.1022561111052831,1.33,24
0.10569666670428382,1.376,27
0.1089391666650772,1.427,25
0.11226777778731452,1.483,24
0.1157005555762185,1.533,24
0.11905944446722666,1.584,23
0.1223027777671814,1.63,26
0.1255886110994551,1.682,27
0.12902777777777777,1.723,28
0.13232694447040558,1.77,28
0.13557694448365107,1.819,30
0.13892722222540113,1.868,28
0.14228416668044197,1.917,28
0.14559194445610046,1.964,27
0.14899083336194358,2.016,26
0.152338611152437,2.066,27
0.15562694443596733,2.107,29
0.1589097222354677,2.163,28
0.1622491667005751,2.212,27
0.16569805555873446,2.267,27
0.16893027775817449,2.319,26
0.1722469444407357,2.378,26
0.1755788889196184,2.431,26
0.17905361109309725,2.464,26
0.18225111113654244,2.52,27
0.1855949999888738,2.578,27
0.18891416668891906,2.635,23
0.19226388891537985,2.688,22
0.19559694442484113,2.749,21
0.19896138893233406,2.803,20
0.20235111110740236,2.858,20
0.2056222222248713,2.923,19
0.20907888889312745,2.992,20
0.21224555558628505,3.053,19
0.21573833333121406,3.106,20
0.21892111109362708,3.153,20
0.22228861113389334,3.219,20
0.22569777780108982,3.277,19
0.22898027777671814,3.337,18
0.23236638890372383,3.392,18
0.23562555558151668,3.438,19
0.23890833331478967,3.48,19
0.24234472221798367,3.533,18
0.24565416667196485,3.587,19
0.24896722224023607,3.648,20
0.2523269444704056,3.683,21
0.25569972223705717,3.732,21
0.2589374999867545,3.765,21
0.2622424999872843,3.805,20
0.2656486111217075,3.859,18
0.2690283333592945,3.915,19
0.2722919444243113,3.957,20
0.27564972221851347,4.004,21
0.2790061110920376,4.055,21
0.28224000003602767,4.108,21
0.285777222249243,4.151,20
0.2889911111195882,4.206,20
0.29229444444179536,4.267,20
0.2956083333492279,4.323,21
0.29891444444656373,4.375,14
0.3022388888729943,4.384,14
0.30557638890213434,4.415,12
0.3090463889307446,4.468,13
0.312297222216924,4.505,14
0.31576638890637293,4.544,14
0.31896944443384806,4.59,13
0.3223061111238268,4.633,14
0.3256138888994853,4.67,15
0.32897055559688143,4.708,15
0.3323188889026642,4.755,15
0.33559527781274584,4.783,14
